Tag,Text,Author,About_link,Goodreads Page Link,Inside Quote Tags
inspirational,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison,http://goodreads.com/author/show/3091287.Thomas_A_Edison,"edison, failure, inspirational, paraphrased"
inspirational,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe,"friends, heartbreak, inspirational, life, love, sisters"
inspirational,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,https://quotes.toscrape.com/author/Elie-Wiesel,http://goodreads.com/author/show/1049.Elie_Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy"
inspirational,"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling,"death, inspirational"
inspirational,“It is never too late to be what you might have been.”,George Eliot,https://quotes.toscrape.com/author/George-Eliot,http://goodreads.com/author/show/173.George_Eliot,inspirational
inspirational,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis,"books, inspirational, reading, tea"
inspirational,“Only in the darkness can you see the stars.”,Martin Luther King Jr.,https://quotes.toscrape.com/author/Martin-Luther-King-Jr,http://goodreads.com/author/show/23924.Martin_Luther_King_Jr_,"hope, inspirational"
inspirational,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,https://quotes.toscrape.com/author/Helen-Keller,http://goodreads.com/author/show/7275.Helen_Keller,inspirational
inspirational,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,https://quotes.toscrape.com/author/George-Bernard-Shaw,http://goodreads.com/author/show/5217.George_Bernard_Shaw,"inspirational, life, yourself"
inspirational,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,https://quotes.toscrape.com/author/John-Lennon,http://goodreads.com/author/show/19968.John_Lennon,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace"
inspirational,"“A person's a person, no matter how small.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss,inspirational
life,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein,"inspirational, life, live, miracle, miracles"
life,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,https://quotes.toscrape.com/author/Andre-Gide,http://goodreads.com/author/show/7617.Andr_Gide,"life, love"
life,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe,"friends, heartbreak, inspirational, life, love, sisters"
life,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,https://quotes.toscrape.com/author/Douglas-Adams,http://goodreads.com/author/show/4.Douglas_Adams,"life, navigation"
life,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"books, contentment, friends, friendship, life"
life,“Life is what happens to us while we are making other plans.”,Allen Saunders,https://quotes.toscrape.com/author/Allen-Saunders,http://goodreads.com/author/show/276029.Allen_Saunders,"fate, life, misattributed-john-lennon, planning, plans"
life,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss,"comedy, life, yourself"
life,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein,"life, simile"
life,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,https://quotes.toscrape.com/author/George-Bernard-Shaw,http://goodreads.com/author/show/5217.George_Bernard_Shaw,"inspirational, life, yourself"
life,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,http://goodreads.com/author/show/12080.Ralph_Waldo_Emerson,"life, regrets"
life,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"death, life"
life,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,https://quotes.toscrape.com/author/Jimi-Hendrix,http://goodreads.com/author/show/7268.Jimi_Hendrix,"death, life"
life,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,https://quotes.toscrape.com/author/Khaled-Hosseini,http://goodreads.com/author/show/569.Khaled_Hosseini,life
humor,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"aliteracy, books, classic, humor"
humor,"“A day without sunshine is like, you know, night.”",Steve Martin,https://quotes.toscrape.com/author/Steve-Martin,http://goodreads.com/author/show/7103.Steve_Martin,"humor, obvious, simile"
humor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,https://quotes.toscrape.com/author/Garrison-Keillor,http://goodreads.com/author/show/2014.Garrison_Keillor,"humor, religion"
humor,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,https://quotes.toscrape.com/author/Jim-Henson,http://goodreads.com/author/show/4427.Jim_Henson,humor
humor,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,https://quotes.toscrape.com/author/Charles-M-Schulz,http://goodreads.com/author/show/209672.Charles_M_Schulz,"chocolate, food, humor"
humor,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins,http://goodreads.com/author/show/153394.Suzanne_Collins,humor
humor,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski,http://goodreads.com/author/show/13275.Charles_Bukowski,humor
humor,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,https://quotes.toscrape.com/author/Terry-Pratchett,http://goodreads.com/author/show/1654.Terry_Pratchett,"humor, open-mind, thinking"
humor,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss,"humor, philosophy"
humor,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,https://quotes.toscrape.com/author/George-Carlin,http://goodreads.com/author/show/22782.George_Carlin,"humor, insanity, lies, lying, self-indulgence, truth"
humor,“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,https://quotes.toscrape.com/author/W-C-Fields,http://goodreads.com/author/show/82951.W_C_Fields,"humor, sinister"
humor,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"humor, love, romantic, women"
books,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"aliteracy, books, classic, humor"
books,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"books, contentment, friends, friendship, life"
books,“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,https://quotes.toscrape.com/author/Jorge-Luis-Borges,http://goodreads.com/author/show/500.Jorge_Luis_Borges,"books, library"
books,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis,"books, inspirational, reading, tea"
books,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,https://quotes.toscrape.com/author/Haruki-Murakami,http://goodreads.com/author/show/3354.Haruki_Murakami,"books, thought"
books,“There is no friend as loyal as a book.”,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway,http://goodreads.com/author/show/1455.Ernest_Hemingway,"books, friends, novelist-quotes"
books,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger,http://goodreads.com/author/show/819789.J_D_Salinger,"authors, books, literature, reading, writing"
books,“′Classic′ - a book which people praise and don't read.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"books, classic, reading"
books,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"books, library, reading"
books,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,https://quotes.toscrape.com/author/Madeleine-LEngle,http://goodreads.com/author/show/106.Madeleine_L_Engle,"books, children, difficult, grown-ups, write, writers, writing"
books,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin,http://goodreads.com/author/show/346732.George_R_R_Martin,"books, mind"
reading,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss,"learning, reading, seuss"
reading,“We read to know we're not alone.”,William Nicholson,https://quotes.toscrape.com/author/William-Nicholson,http://goodreads.com/author/show/46130.William_Nicholson,"misattributed-to-c-s-lewis, reading"
reading,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin,http://goodreads.com/author/show/346732.George_R_R_Martin,"read, readers, reading, reading-books"
reading,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis,"books, inspirational, reading, tea"
reading,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger,http://goodreads.com/author/show/819789.J_D_Salinger,"authors, books, literature, reading, writing"
reading,“′Classic′ - a book which people praise and don't read.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"books, classic, reading"
reading,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"books, library, reading"
friendship,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,https://quotes.toscrape.com/author/Friedrich-Nietzsche,http://goodreads.com/author/show/1938.Friedrich_Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage"
friendship,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"books, contentment, friends, friendship, life"
friendship,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,http://goodreads.com/author/show/25241.Bob_Marley,friendship
friendship,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen,"friendship, love"
friendship,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson,http://goodreads.com/author/show/13638502.Alfred_Tennyson,"friendship, love"
friends,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe,"friends, heartbreak, inspirational, life, love, sisters"
friends,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling,"courage, friends"
friends,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"books, contentment, friends, friendship, life"
friends,“There is no friend as loyal as a book.”,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway,http://goodreads.com/author/show/1455.Ernest_Hemingway,"books, friends, novelist-quotes"
truth,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,https://quotes.toscrape.com/author/George-Carlin,http://goodreads.com/author/show/22782.George_Carlin,"humor, insanity, lies, lying, self-indulgence, truth"
truth,“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,"misattributed-mark-twain, truth"
truth,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling,truth
truth,“Never tell the truth to people who are not worthy of it.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain,truth
simile,"“A day without sunshine is like, you know, night.”",Steve Martin,https://quotes.toscrape.com/author/Steve-Martin,http://goodreads.com/author/show/7103.Steve_Martin,"humor, obvious, simile"
simile,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein,"life, simile"
simile,"“He's like a drug for you, Bella.”",Stephenie Meyer,https://quotes.toscrape.com/author/Stephenie-Meyer,http://goodreads.com/author/show/941441.Stephenie_Meyer,"drug, romance, simile"
